"State","Item","Model","MAE","RMSE","Type"
"California","Meat","ARIMA",0.816734714283907,1.04656086981404,"Food"
"California","Meat","ETS",0.822349689787765,1.0465057125671,"Food"
"California","Pastries","ARIMA",0.650712311937053,0.841672831324875,"Food"
"California","Pastries","ETS",0.643344193843121,0.823022632408615,"Food"
"California","Fish","ARIMA",0.469943576388959,0.602165327461838,"Food"
"California","Fish","ETS",0.470044603273333,0.602195304631826,"Food"
"California","Vegetables","ARIMA",0.423177083333333,0.55862865324133,"Food"
"California","Vegetables","ETS",0.423323367000983,0.558656419925208,"Food"
"California","Dairy","ARIMA",0.297208635812032,0.453672540835545,"Food"
"California","Dairy","ETS",0.310051795298569,0.458858985201984,"Food"
"California","Seafood","ARIMA",0.306910959784816,0.431848414307936,"Food"
"California","Seafood","ETS",0.332235848607838,0.451167584602133,"Food"
"California","Fruits","ARIMA",0.244628906250049,0.376407947190722,"Food"
"California","Fruits","ETS",0.244710283238181,0.376426690935586,"Food"
"California","Mixed","ARIMA",0.301104343456527,0.522464988666989,"Food"
"California","Mixed","ETS",0.301472380636577,0.522444975673395,"Food"
"California","Pasta","ARIMA",0.17929385734725,0.311687674960949,"Food"
"California","Pasta","ETS",0.187797517103079,0.322091576464024,"Food"
"California","Salads","ARIMA",0.169196908135557,0.331814487069654,"Food"
"California","Salads","ETS",0.185861467196813,0.337340720045079,"Food"
"California","Potatoes","ARIMA",0.195237426011116,0.33618140884929,"Food"
"California","Potatoes","ETS",0.183367606251132,0.331029293980074,"Food"
"California","Eggs","ARIMA",0.0976615917183704,0.206988223036969,"Food"
"California","Eggs","ETS",0.102741825790129,0.211426421481591,"Food"
"California","Beverages","ARIMA",0.0987413194444443,0.222195093830224,"Food"
"California","Beverages","ETS",0.102646158712299,0.222181499252101,"Food"
"Colorado","Meat","ARIMA",0.365234374999989,0.478260011802042,"Food"
"Colorado","Meat","ETS",0.365304058711994,0.47828389784674,"Food"
"Colorado","Pastries","ARIMA",0.226106138477238,0.362279169216709,"Food"
"Colorado","Pastries","ETS",0.247110782563791,0.365822787541612,"Food"
"Colorado","Fish","ARIMA",0.107478905922966,0.231776167165245,"Food"
"Colorado","Fish","ETS",0.108141791981322,0.232410635702581,"Food"
"Colorado","Vegetables","ARIMA",0.172926247555268,0.311078391851766,"Food"
"Colorado","Vegetables","ETS",0.175950827555944,0.316686108448054,"Food"
"Colorado","Dairy","ARIMA",0.162326388888888,0.301858752725877,"Food"
"Colorado","Dairy","ETS",0.162138157300741,0.301873704875011,"Food"
"Colorado","Seafood","ARIMA",0.116952677769046,0.237479014647233,"Food"
"Colorado","Seafood","ETS",0.117237617721584,0.242073534353958,"Food"
"Colorado","Fruits","ARIMA",0.0893554687500459,0.211371082163573,"Food"
"Colorado","Fruits","ETS",0.08936000718063,0.211381639370883,"Food"
"Colorado","Mixed","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Colorado","Mixed","ETS",0.020599214146295,0.101534178407743,"Food"
"Colorado","Pasta","ARIMA",0.0407026154728521,0.142797934033366,"Food"
"Colorado","Pasta","ETS",0.0408913315958561,0.142833248113774,"Food"
"Colorado","Salads","ARIMA",0.0506319772241413,0.162365462648589,"Food"
"Colorado","Salads","ETS",0.042252743814191,0.147257056903066,"Food"
"Colorado","Potatoes","ARIMA",0.0410156250000036,0.175544786941174,"Food"
"Colorado","Potatoes","ETS",0.0409920484972169,0.17555356006885,"Food"
"Colorado","Eggs","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Colorado","Eggs","ETS",0.0212510988285247,0.101535766215183,"Food"
"Colorado","Beverages","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Colorado","Beverages","ETS",0.0108815403188868,0.071986207993536,"Food"
"Florida","Meat","ARIMA",0.790529256763415,1.08783398681236,"Food"
"Florida","Meat","ETS",0.771030741030165,1.08973941743483,"Food"
"Florida","Pastries","ARIMA",0.635801961090186,0.80386814574986,"Food"
"Florida","Pastries","ETS",0.640037722749603,0.80672867752601,"Food"
"Florida","Fish","ARIMA",0.661290154204961,0.825658132279478,"Food"
"Florida","Fish","ETS",0.692409798645267,0.847577409031243,"Food"
"Florida","Vegetables","ARIMA",0.24169921875,0.347634304082609,"Food"
"Florida","Vegetables","ETS",0.219559108549873,0.322181799503098,"Food"
"Florida","Dairy","ARIMA",0.161400108903435,0.293687538559974,"Food"
"Florida","Dairy","ETS",0.15869870199703,0.301272405080894,"Food"
"Florida","Seafood","ARIMA",0.455863624688365,0.688512244682636,"Food"
"Florida","Seafood","ETS",0.479337586258806,0.711749638729144,"Food"
"Florida","Fruits","ARIMA",0.194504735437506,0.369661179786381,"Food"
"Florida","Fruits","ETS",0.198339950860924,0.372951245496981,"Food"
"Florida","Mixed","ARIMA",0.394560767296796,0.575227694888974,"Food"
"Florida","Mixed","ETS",0.405031552045682,0.575714010571079,"Food"
"Florida","Pasta","ARIMA",0.16164252698718,0.280897095432478,"Food"
"Florida","Pasta","ETS",0.140321376355905,0.280773738405534,"Food"
"Florida","Salads","ARIMA",0.167538487191558,0.289457928678758,"Food"
"Florida","Salads","ETS",0.153337197263932,0.294643075259443,"Food"
"Florida","Potatoes","ARIMA",0.178195516316571,0.332822122356818,"Food"
"Florida","Potatoes","ETS",0.192913654575087,0.345151528580261,"Food"
"Florida","Eggs","ARIMA",0.0407026154725654,0.142797934033365,"Food"
"Florida","Eggs","ETS",0.0408918012152344,0.142833225993858,"Food"
"Florida","Beverages","ARIMA",0.0407986111111111,0.142826137508355,"Food"
"Florida","Beverages","ETS",0.0425570727830434,0.142844390576161,"Food"
"Florida","Rice","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Florida","Rice","ETS",0.0103596448481309,0.0719841922134634,"Food"
"Guam","Meat","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Guam","Meat","ETS",0.0146161800397234,0.093376873013492,"Food"
"Guam","Fish","ARIMA",0.0410156250000492,0.175544786941174,"Food"
"Guam","Fish","ETS",0.0411154806899845,0.175553516833556,"Food"
"Guam","Seafood","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Guam","Seafood","ETS",0.0206671802450773,0.101534161366498,"Food"
"Hawaii","Meat","ARIMA",0.155350860849726,0.309102335058704,"Food"
"Hawaii","Meat","ETS",0.173138533948083,0.315218650737388,"Food"
"Hawaii","Pastries","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Hawaii","Pastries","ETS",0.0205686835947182,0.10153416828216,"Food"
"Hawaii","Fish","ARIMA",0.815597831919629,1.1452429800068,"Food"
"Hawaii","Fish","ETS",0.83537965819523,1.15403767657108,"Food"
"Hawaii","Vegetables","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Hawaii","Vegetables","ETS",0.0191879811579556,0.101545255878873,"Food"
"Hawaii","Dairy","ARIMA",0.0240605122919057,0.112274680546124,"Food"
"Hawaii","Dairy","ETS",0.0273539475867231,0.101401974188618,"Food"
"Hawaii","Seafood","ARIMA",0.0494817585636981,0.156477964784936,"Food"
"Hawaii","Seafood","ETS",0.0507835111198076,0.159267135121813,"Food"
"Hawaii","Mixed","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Hawaii","Mixed","ETS",0.0103715895013733,0.0719841919628976,"Food"
"Hawaii","Pasta","ARIMA",0.0307617187499805,0.124019592706153,"Food"
"Hawaii","Pasta","ETS",0.0307231975501221,0.124025785004658,"Food"
"Hawaii","Salads","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Hawaii","Salads","ETS",0.0103731187637487,0.0719841917928843,"Food"
"Maryland","Meat","ARIMA",0.281500472209791,0.456813091630593,"Food"
"Maryland","Meat","ETS",0.276468298738505,0.46508426785448,"Food"
"Maryland","Pastries","ARIMA",0.166259650459418,0.309451487869006,"Food"
"Maryland","Pastries","ETS",0.188909062443501,0.292041536971956,"Food"
"Maryland","Fish","ARIMA",0.125173618366486,0.26306811547782,"Food"
"Maryland","Fish","ETS",0.129194551384195,0.262961618905351,"Food"
"Maryland","Vegetables","ARIMA",0.0798611111110522,0.199826313471363,"Food"
